id,code,day,session_label,session_time,time,room,title,authors,affiliations,source_pdf,source_pages,start_page,end_page
0153,0153,"Monday, June 22",OR1-1E Chemical Sensors and MEMS/NEMS 1,10:00-12:00,11:40,Plum Blossom 2,Development of a Micro Gas Sensor with a Suspended Micro Heater for Nitrogen Dioxide Detection,"Chia-Hsu Hsieh1, Cheng-Chuan Chou1, Hao-Hsuan Hung2, Ya-Han Lin2, Wei-Chieh Sun2, Ping-Ju Wang2, Chuan-Chun Liu2, Yao-Ching Fang2 and I-Yu Huang1","National Sun Yat-sen University, Taiwan 12:00-13:00",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0153.pdf,2,54,55
0214,0214,"Monday, June 22",OR1-1D Physical Sensors and MEMS/NEMS 1,10:00-12:00,11:40,Rose 3,A Monolithic CMOS-Search-Coil-Magnetometer Based Inductive Tracking Platform Using Magnetic Shunt Physics for Real-Time Object Localization and Material Identification,"Hadi Tavakkoli1, Moaaz Ahmed1, Amine Bermak2, and Yi-Kuen Lee1","The Hong Kong University of Science and Technology, Hong Kong [1] Hamad Bin Khalifa University, Qatar [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0214.pdf,2,56,57
0364,0364,"Monday, June 22",OR1-1B Acoustic and RF MEMS,10:00-12:00,11:40,Rose 1,Spurious-Free LNOI SH-SAW GHz Resonators for Impedance Transformers,"Zhi Qiang Lee1, Ya-Ching Yu1, Sung-Yuan Huang2, Cheng-Chien Lin1, Yi-Cheng Liao1, and Ming-Huang Li1 2","National Tsing Hua University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0364.pdf,2,58,59
0145,0145,"Monday, June 22",OR1-1A Bio/Medical Sensors and MEMS/NEMS 1,10:00-12:00,11:42,Grand Ballroom 1,Laser-Induced Biomimetic Micro-texturing for Oleophobic Surfaces,R. Goto and M. Yamaguchi,"Shinshu University, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0145.pdf,2,60,61
0446,0446,"Monday, June 22",OR1-2B Self Organized 1 In-body/Intracellular Cybernetic Avatars,13:00-14:30,13:00,Rose 1,A Stomach-Acid-Charged Tablet-Type Digital Pill with In-Body Monitoring,Kiichi Niitsu1,"Kyoto University, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0446.pdf,2,62,63
0435,0435,"Monday, June 22",OR1-2B Self Organized 1 In-body/Intracellular Cybernetic Avatars,13:00-14:30,13:15,Rose 1,Development and In Vivo Telemetry Demonstration of Ingestible Polyaniline- Based Conductometric pH Sensor,"S. Yoshida1, I. Sugasawa1, H. Miyaguchi1, T. Ito2, Y. Miura3, M. Fujishiro3","Shibaura Institute of Technology, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0435.pdf,2,64,65
0440,0440,"Monday, June 22",OR1-2B Self Organized 1 In-body/Intracellular Cybernetic Avatars,13:00-14:30,13:30,Rose 1,Design of Chemical Transducers for Bioorthogonal Signaling,"K. Dodo1,*, S. Yoshimoto1, Y. Shirasaki2, T. Kamatani3, S. Yotsumoto4, S. S. Sugano5, S. Sakuma6, Y. Yamanishi6","RIKEN, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0440.pdf,2,66,67
0450,0450,"Monday, June 22",OR1-2A Energy and Power and MEMS/NEMS,13:00-14:30,13:30,Grand Ballroom 1,Hierarchical Microstructure Engineering and Surface Area Optimization for 3D- Printed Triboelectric Nanogenerators,"Wei-Cheng Wang1, Chen-Fang Sun1, and Pin-Chuan Chen1","National Taiwan University of Science and Technology, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0450.pdf,2,68,69
0124,0124,"Monday, June 22",OR1-2C Optical MEMS 1,13:00-14:30,13:40,Rose 2,Silicon Subwavelength Grating Waveguides with High Flexibility and Low Bending Loss toward Terahertz Photonic Integrated Circuits,K. Chiba1 and Y. Kanamori1,"Tohoku University, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0124.pdf,2,70,71
0189,0189,"Monday, June 22",OR1-2E Bio/Medical Sensors and MEMS/NEMS 2,13:00-14:30,13:40,Plum Blossom 2,Smartphone-Enabled Point-of-Care Creatinine Biosensor for Bovine Muscle Mass Monitoring in Dairy Farming,"Nikhil Mathew, Yao-Luo Lin, and R.K. Rakesh Kumar, Cheng-Hsin Chuang","National Sun Yat-sen University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0189.pdf,2,72,73
